Date,Open,High,Low,Close
11/22/2021,"29.0502","29.2528","26.3398","26.6905"
11/21/2021,"28.1591","29.2066","27.7326","29.0502"
11/20/2021,"28.3481","28.7267","27.3151","28.1510"
11/19/2021,"26.8101","28.8885","26.1100","28.3361"
11/18/2021,"29.0852","29.6955","25.8849","26.8101"
11/17/2021,"29.6333","29.8900","28.0951","29.0779"
11/16/2021,"32.3941","32.3941","28.0900","29.6814"
11/15/2021,"33.2700","34.4877","32.0387","32.3941"
11/14/2021,"33.9621","34.4165","32.6162","33.2700"
11/13/2021,"34.4407","34.5525","33.2081","33.9621"
11/12/2021,"35.1178","35.4768","32.7210","34.4136"
11/11/2021,"33.3232","36.9304","33.1781","35.1000"
11/10/2021,"34.2300","38.2667","32.2033","33.5134"
11/09/2021,"34.2133","35.5993","33.4336","34.2300"
11/08/2021,"32.4072","34.8037","32.1678","34.2133"
11/07/2021,"31.6849","32.6100","31.6849","32.3628"
11/06/2021,"32.6911","33.2152","30.7431","31.6958"
11/05/2021,"30.7267","33.7002","30.6032","32.6500"
11/04/2021,"31.6894","32.1047","30.2600","30.7463"
11/03/2021,"32.0147","32.7839","30.6060","31.6894"
11/02/2021,"31.2143","32.4842","30.9878","32.0147"
11/01/2021,"29.7220","31.5826","29.2089","31.1741"
10/31/2021,"29.9683","30.6655","28.6890","29.7220"
10/30/2021,"31.1034","31.1301","29.5193","29.9683"
10/29/2021,"30.3765","31.9500","29.9104","31.1106"
10/28/2021,"29.3600","30.8584","28.6790","30.4595"
10/27/2021,"33.3835","33.8900","28.0633","29.3623"
10/26/2021,"32.4823","33.8011","31.3419","33.3835"
10/25/2021,"29.4919","32.8735","29.4623","32.4685"
10/24/2021,"30.7915","31.4870","28.7787","29.4919"
10/23/2021,"28.6113","31.2933","28.1928","30.7968"
10/22/2021,"28.2061","30.0053","28.0213","28.6113"
10/21/2021,"27.3541","29.2872","27.2323","28.2061"
10/20/2021,"25.4513","27.5058","25.4157","27.3541"
10/19/2021,"25.6571","26.2600","25.3832","25.4750"
10/18/2021,"25.8530","26.7106","25.2870","25.6655"
10/17/2021,"27.5977","27.6189","25.6681","25.8530"
10/16/2021,"27.2692","28.6525","26.8022","27.6158"
10/15/2021,"26.6268","27.3550","26.0458","27.2655"
10/14/2021,"25.3040","27.8106","25.2158","26.6268"
10/13/2021,"24.6492","25.3458","24.1714","25.3040"
10/12/2021,"24.7761","25.2320","23.5748","24.6003"
10/11/2021,"26.2300","26.7418","24.8318","24.8318"
10/10/2021,"27.6009","27.6396","26.2300","26.2300"
10/09/2021,"26.3309","27.8574","26.0891","27.5663"
10/08/2021,"27.2540","27.4504","26.2326","26.3358"
10/07/2021,"26.8537","27.6849","25.9392","27.2540"
10/06/2021,"27.1700","28.1887","25.2300","26.8448"
10/05/2021,"26.6095","27.2536","26.2511","27.1700"
10/04/2021,"27.8007","27.8007","25.6390","26.6095"
10/03/2021,"27.4644","28.1467","26.5350","27.8007"
10/02/2021,"26.3425","27.7962","25.8730","27.4644"
10/01/2021,"23.5235","26.6600","23.5205","26.3425"
09/30/2021,"22.3239","24.3666","22.2809","23.5235"
